	AD1X24b	AD1X24c	AD1X24d	AD1X7a	AD1X7b	AD1X7c	AD1Y24b	AD1Y24c	AD1Y24d	AD1Y7a	AD1Y7c	AD1Y7d	AD8X24b	AD8X24c	AD8X24d	AD8X7a	AD8X7b	AD8X7c	AD8Y24a	AD8Y24b	AD8Y24c	AD8Y7a	AD8Y7c	AD8Y7d
OG0000068	-0.357054	-0.326652	-0.288401	-0.0583118	-0.369941	-0.368048	0.131396	0.236179	-0.0906452	0.37555	0.541823	0.574105	-0.419009	-0.1375	-0.294063	0.0392061	0.158712	0.107219	-0.335341	0.0622485	0.296713	0.19489	0.229387	0.0975368
OG0000069	0.0493038	0.108231	-0.0631973	0.0448377	0.230042	0.2455	-0.223597	-0.313609	-0.306607	0.0631186	-0.00458603	0.170563	0.0342649	-0.186598	0.0279531	-0.0742876	-0.355796	-0.178458	0.247358	0.205722	0.132465	0.108413	-0.0291543	0.0681184
OG0000071	-0.310075	-0.253997	-0.442295	-0.213766	-0.127154	-0.102371	0.478797	0.611609	0.604767	-0.0533886	-0.131726	-0.0604005	0.0983227	0.188623	-0.101301	0.000659047	-0.184787	-0.168051	0.224132	0.0901954	-0.0806186	-0.0257503	-0.0493047	0.00788046
OG0000072	0.126905	0.331708	0.136441	0.465982	0.448829	0.616922	-0.355801	-0.48223	-0.290124	-0.291901	-0.334703	-0.372028	0.0205311	0.21622	0.0241121	-0.124004	-0.204558	-0.179411	0.241034	0.0941343	-0.0438335	-0.117719	0.00597574	0.0675176
OG0000074	0.0702904	0.0477205	0.0672318	0.103118	0.202311	0.11733	-0.246108	-0.157566	-0.156206	0.0662414	-0.0382181	-0.0761447	-0.0934373	0.031511	0.00702952	0.0987037	0.11188	0.0512327	-0.240533	-0.114413	-0.0760184	0.0818368	0.0349404	0.107266
OG0000075	0.0876351	0.31854	0.127537	0.24173	0.277014	0.221989	-0.182034	-0.137361	-0.0383792	-0.252069	-0.346288	-0.318313	-0.0491215	0.161289	0.00742752	0.03527	0.0165151	-0.0811916	-0.0497043	0.0246893	-0.0735586	-0.0236601	-0.047249	0.0792937
OG0000076	0.117872	0.246957	0.120534	0.149264	0.372772	0.399697	-0.377541	-0.511292	-0.250891	-0.0612448	-0.122336	-0.0837922	0.0433207	0.0263853	0.178583	0.126667	0.0633398	0.0135837	-0.137194	-0.0212386	-0.154406	0.0258232	-0.0758509	-0.0890136
OG0000077	0.521828	0.395562	0.340194	-0.3004	-0.244617	-0.184346	0.0859594	-0.184791	-0.251552	0.0271583	-0.259463	0.0544681	-0.0260219	0.00522267	-0.118767	0.17038	0.289661	-0.0207613	-0.188038	-0.200811	-0.27624	0.0907614	0.251443	0.0231704
OG0000078	0.0652662	0.136673	0.014359	-0.060813	0.141828	-0.0538388	-0.128935	0.0385715	0.0683675	-0.00832842	-0.059555	-0.153596	-0.00692396	0.119577	-0.00746942	-0.0664582	-0.0822203	-0.12952	0.145539	0.0952911	-0.0182601	-0.0499929	-0.0280156	0.0284527
OG0000079	0.00984675	0.0239919	-0.0689655	0.0505391	0.145324	-0.133636	-0.171619	0.0101716	-0.169327	-0.230289	0.229561	0.304401	-0.105774	-0.106153	-0.0966248	0.00463918	0.0243296	-0.0326988	-0.0576582	0.132674	0.207794	-0.050083	-0.0120109	0.0915658
OG0000080	0.0329325	0.020665	0.0546096	-0.141752	-0.101509	-0.0859813	0.0267552	0.135843	-0.00203962	0.0229581	0.0079617	0.0295562	0.0941125	0.403613	0.265661	-0.274597	-0.260181	-0.184756	-0.157171	-0.0963765	0.0543694	0.0476807	0.115081	-0.00743632
OG0000081	0.0791004	-0.0758386	-0.0573561	0.0844426	0.123842	0.151232	-0.123767	-0.0285012	-0.133786	0.0310782	-0.0674833	0.0170366	-0.0393337	-0.153471	-0.432569	0.305506	0.619036	0.0993993	-0.543743	-0.274003	-0.41503	0.432553	0.161006	0.240649
OG0000083	0.224055	0.380242	0.359955	0.0929312	0.200189	0.101069	-0.314243	-0.101388	-0.139009	-0.310647	-0.0698751	-0.423279	-0.031321	0.155421	-0.0224775	0.0529157	0.0549057	-0.0358276	-0.0431032	0.0763649	0.086966	-0.0643994	-0.0806521	-0.148792
OG0000084	0.159932	0.406101	0.967557	0.0846334	0.380875	0.310973	-0.763756	-0.309336	-0.224053	-0.3506	-0.158148	-0.504178	0.251374	0.329961	0.929459	-0.306191	0.0744899	0.120256	-0.186715	-0.383109	0.13406	-0.302714	-0.268594	-0.392277
OG0000085	0.0835886	0.2459	-0.0110473	-0.0214757	0.19111	0.219122	-0.0844368	0.103802	0.133094	-0.13885	-0.411144	-0.309662	0.0768107	0.361055	0.166742	-0.102161	0.0252993	-0.104588	-0.0635995	-0.00353286	-0.234158	0.132474	-0.110256	-0.144086
OG0000088	0.0253198	0.0160531	-0.0193729	0.114026	0.0773171	0.0173592	-0.0587781	0.00105381	-0.0979392	0.0988794	-0.142351	-0.0315668	0.0844183	-0.159351	-0.0802829	0.220022	0.367311	0.104015	-0.350499	-0.289114	-0.29591	0.14206	0.194127	0.0632028
OG0000089	0.0771588	0.176981	0.140691	0.00951899	0.0886623	0.102804	-0.215568	-0.02803	-0.157649	-0.0669082	-0.046939	-0.0807221	-0.0699778	-0.0794871	-0.0578974	0.0251655	0.0149349	-0.119856	-0.00821993	0.113395	-0.0103602	0.0510153	0.0585977	0.0826906
OG0000090	0.180932	0.221141	0.0874085	0.17999	0.188982	0.139105	-0.154127	-0.164109	-0.133472	-0.166555	-0.204581	-0.174715	0.176488	0.266944	0.229762	-0.0383088	-0.179778	0.00589733	0.118251	-0.0615352	-0.114047	-0.115722	-0.173798	-0.114152
OG0000091	0.00881216	0.0303377	0.0322183	0.0484951	0.0379465	0.0529334	-0.0786329	-0.0882158	-0.121739	0.046473	-0.0484594	0.0798313	-0.0845515	-0.0549866	-0.085869	0.0782691	0.0513803	0.0737055	-0.147317	-0.0249721	0.080366	0.0321282	0.0185568	0.0632905
OG0000092	-0.0196576	0.0770234	0.0454567	-0.179373	-0.0297192	-0.15915	-0.0385944	0.0954082	0.0303389	0.0552795	0.156147	-0.0331594	-0.180462	-0.0317838	-0.17732	0.0914402	0.220892	0.00927416	-0.146417	0.0512582	-0.129485	0.192631	0.03457	0.0654028
OG0000093	-0.144011	-0.0710393	0.00170728	-0.102716	-0.125995	-0.0356498	0.176481	0.229859	0.333903	-0.109961	-0.0987087	-0.0538682	-0.105497	0.0400721	0.0132121	-0.172611	-0.205919	-0.205744	0.362267	0.377469	0.265949	-0.0564108	-0.1869	-0.125888
OG0000094	-0.255709	-0.066442	-0.0412158	-0.033788	-0.145553	-0.160146	-0.15371	0.0368594	-0.0282283	0.240118	0.393075	0.214739	-0.286315	-0.0649949	-0.247306	0.00402497	-0.181014	-0.0656257	0.00409068	0.0924242	0.134455	0.136428	0.306958	0.166876
OG0000095	0.272906	0.356963	0.171579	0.38539	0.311449	0.242792	-0.451784	-0.319582	-0.436098	-0.191457	-0.164816	-0.177341	0.0890967	0.153109	-0.0628266	-0.289122	-0.371105	-0.255008	0.294755	0.27852	0.191152	-0.0843575	-0.00643022	0.0622182
OG0000096	-0.194569	-0.172032	-0.271671	-0.251772	-0.302836	-0.313933	0.438563	0.374936	0.422673	0.0774792	0.0919248	0.101236	-0.0847627	-0.0661413	0.043887	-0.318181	-0.462866	-0.324175	0.343951	0.28293	0.316247	0.0807015	0.0573021	0.131107
